id,channel,message,created_at,is_valid_trade,parameters,processed_at,failed_at,exception
1,♻️BTCUSD SIGNALS (FREE),THATS WHAT YOU CALL A GOOD MORNING 🙂,2024-10-21 08:30:17,0,,,,Expecting value: line 1 column 1 (char 0)
2,♻️BTCUSD SIGNALS (FREE),THATS WHAT YOU CALL A GOOD MORNING 🙂,2024-10-21 08:30:26,0,,,,Expecting value: line 1 column 1 (char 0)
3,♻️BTCUSD SIGNALS (FREE),Where’s my likes ? 👍,2024-10-21 08:31:16,0,,,,Expecting value: line 1 column 1 (char 0)
4,ICT IS SMC TRADING STRATEGY,,2024-10-21 08:37:09,0,,,,Expecting value: line 1 column 1 (char 0)
5,ICT IS SMC TRADING STRATEGY,,2024-10-21 08:37:15,0,,,,Expecting value: line 1 column 1 (char 0)
6,ICT IS SMC TRADING STRATEGY,,2024-10-21 08:37:20,0,,,,Expecting value: line 1 column 1 (char 0)
7,ICT IS SMC TRADING STRATEGY,,2024-10-21 08:37:23,0,,,,Expecting value: line 1 column 1 (char 0)
8,VANTAGE FOREX SIGNALS OFFICIAL,"Good morning Monday🔥

Lets all out and make the broker cry again this week ! Let's Go 👊🏻

Stay pin & unmute okay📍",2024-10-21 08:45:23,0,,,,Expecting value: line 1 column 1 (char 0)
9,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 08:45:30,0,,,,Expecting value: line 1 column 1 (char 0)
10,VANTAGE FOREX SIGNALS OFFICIAL,Are you guys ready for the  signal of the day?,2024-10-21 08:45:33,0,,,,Expecting value: line 1 column 1 (char 0)
11,Forex Signal Factory (free),Are you guys ready for the  signal of the day?,2024-10-21 08:51:54,0,,,,Expecting value: line 1 column 1 (char 0)
12,VANTAGE FOREX SIGNALS OFFICIAL,"GBPJPY BUY NOW @ 194.752 - 194.327

SL : 194.022

TP 1 : 194.931
TP 2 : 195.932",2024-10-21 08:55:20,1,"{""symbol"": ""GBPJPY"", ""signal"": ""buy"", ""price"": [194.752, 194.327], ""stopLoss"": 194.022, ""takeProfit"": [1, 194.931, 195.932]}",,,
13,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:16:20,0,,,,Expecting value: line 1 column 1 (char 0)
14,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:16:38,0,,,,Expecting value: line 1 column 1 (char 0)
15,XAU-USD MASTERS FX,Good Morning Traders ✔️,2024-10-21 09:32:28,0,,,,Expecting value: line 1 column 1 (char 0)
16,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:37:21,0,,,,Expecting value: line 1 column 1 (char 0)
17,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,ALL VIP  Signal 💵💵💵,2024-10-21 09:37:25,0,,,,Expecting value: line 1 column 1 (char 0)
18,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:37:30,0,,,,Expecting value: line 1 column 1 (char 0)
19,KR CAPITALS,"New week , new opportunities are waiting in market , join our premium channel now and get all our signals

@kr_capital_admin",2024-10-21 09:39:50,0,,,,Expecting value: line 1 column 1 (char 0)
20,KR CAPITALS,Discount running,2024-10-21 09:39:55,0,,,,Expecting value: line 1 column 1 (char 0)
21,Smart Money Trader,,2024-10-21 09:41:21,0,,,,Expecting value: line 1 column 1 (char 0)
22,XAU-USD MASTERS FX,GOLD SELL NOW ✔️,2024-10-21 09:49:14,0,,,,Expecting value: line 1 column 1 (char 0)
23,XAU-USD MASTERS FX,"🔽GOLD SELL NOW @2727-2730

🟩TP 1 :2723
🟩TP 2 :2718
🟩TP 3 :2710
🟩TP 4 :OPEN 


🟥SL : 2734
USE SMALL Lot",2024-10-21 09:51:13,1,"{""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""price"": [2727, 2730], ""stopLoss"": 2734, ""takeProfit"": [2718, 2710]}",,,
24,𝗙𝗢𝗫𝗬𝗜𝗖𝗧𝗥𝗔𝗗𝗘𝗥 (𝗣.𝗚),NEW ACCOUNTS CONNECTED FOR COPYTRADING ❤️❤️,2024-10-21 09:57:13,0,,,,Expecting value: line 1 column 1 (char 0)
25,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:59:13,0,,,,Expecting value: line 1 column 1 (char 0)
26,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 09:59:17,0,,,,Expecting value: line 1 column 1 (char 0)
27,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,"✅Join  VIP  Accuracy 99%✅


      💵earn more profit💵

     💥 Don't Waste your time💥

Contact @Work_davidwilliams",2024-10-21 10:00:14,0,,,,Expecting value: line 1 column 1 (char 0)
28,XAU-USD MASTERS FX,"(#XAUUSD) SELL 

RUNNING 30+ PIPS  GUYS 

ENJOY YOUR PROFIT",2024-10-21 10:00:27,1,"{""symbol"": ""#XAUUSD"", ""signal"": ""SELL"", ""price"": null, ""stopLoss"": null, ""takeProfit"": null}",,,
29,VANTAGE FOREX SIGNALS OFFICIAL,"Gbpjpy in full sprint, dashing with 20+pips! 🏃 

Ready to bask in the glory? Close all positions now or set be  and savor the satisfaction! 🌟",2024-10-21 10:01:13,0,,,,Expecting value: line 1 column 1 (char 0)
30,XAU-USD MASTERS FX,"GOLD SELL 

TP 1 DONE 40PIPS BOOM BOOM 🔥✅✔️",2024-10-21 10:02:13,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": null, ""stopLoss"": null, ""takeProfit"": 1}",,,
31,♻️BTCUSD SIGNALS (FREE),"Gold Buy Now @ 2724 - 2721

SL: 2718

TP1: 2729
TP2: open",2024-10-21 10:14:53,1,"{""symbol"": ""XAUUSD"", ""signal"": ""BUY"", ""price"": [2724, 2721], ""stopLoss"": 2718, ""takeProfit"": [2729]}",,,
32,♻️BTCUSD SIGNALS (FREE),"25pips running already!! 

Whoever wants to pick it up can taste it first 🤑🤑🤑
as usual as long as it doesn't get hit But hold on tight 😅😅😅",2024-10-21 10:23:13,0,,,,Expecting value: line 1 column 1 (char 0)
33,Trade with Pat 🆓 (FRN),Your Free Signal for Monday is Here: 👇,2024-10-21 10:26:42,0,,,,Expecting value: line 1 column 1 (char 0)
34,Trade with Pat 🆓 (FRN),"USD/CAD | Potential Downward Movement
Sell Limit Order @ 1.38180  
Target Profit @ 1.37410
Stop Loss @ 1.38950
Trade Safely",2024-10-21 10:27:07,1,"{""symbol"": ""usd/cad"", ""signal"": ""SELL"", ""price"": [1.3818, 1.3741], ""stopLoss"": 1.3895, ""takeProfit"": 1.3741}",,,
35,VANTAGE FOREX SIGNALS OFFICIAL,"Gbpjpy Hit Target Tp1 34+pips achieved! 🍿

Now, it's time to take advantage of this opportunity and grab those profits like a pro!",2024-10-21 10:34:41,0,,,,Expecting value: line 1 column 1 (char 0)
36,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 10:34:48,0,,,,Expecting value: line 1 column 1 (char 0)
37,Trade with Pat 🆓 (FRN),For Full Breakdown of The Free Signal go Here: 👇 https://forexrobotnation.com/usd-cad-potential-downward-movement-12/,2024-10-21 10:35:41,0,,,,Expecting value: line 1 column 1 (char 0)
38,Forex Signal Factory (free),,2024-10-21 10:38:41,0,,,,Expecting value: line 1 column 1 (char 0)
39,Forex Signal Factory (free),"Gbpjpy in full sprint, dashing with 20+pips! 🏃 

Ready to bask in the glory? Close all positions now or set be  and savor the satisfaction! 🌟",2024-10-21 10:38:45,1,"{""symbol"": ""GBPJPY"", ""signal"": null, ""price"": null, ""stopLoss"": null, ""takeProfit"": null}",,,
40,Forex Signal Factory (free),"Gbpjpy Hit Target Tp1 34+pips achieved! 🍿

Now, it's time to take advantage of this opportunity and grab those profits like a pro!",2024-10-21 10:38:50,1,"{""symbol"": ""GBPJPY"", ""signal"": null, ""price"": null, ""stopLoss"": null, ""takeProfit"": null}",,,
41,Forex Signal Factory (free),,2024-10-21 10:50:42,0,,,,Expecting value: line 1 column 1 (char 0)
42,♻️BTCUSD SIGNALS (FREE),More likes or we focus on VIP 😣,2024-10-21 10:54:42,0,,,,Expecting value: line 1 column 1 (char 0)
43,VANTAGE FOREX SIGNALS OFFICIAL,"EARLY MORNING BREAKFAST✅

We print money team  🔥🔥

Always share feedback with screenshot and tap 🔥

#FEEDBACK",2024-10-21 11:00:42,0,,,,Expecting value: line 1 column 1 (char 0)
44,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:02:42,0,,,,Expecting value: line 1 column 1 (char 0)
